Focal_region,In_or_out,movement,total
"King County, Washington","Humboldt County, California",MOVEDIN,106
"King County, Washington","Humboldt County, California",MOVEDOUT,4
"King County, Washington","Imperial County, California",MOVEDIN,0
"King County, Washington","Imperial County, California",MOVEDOUT,9
"King County, Washington","Inyo County, California",MOVEDIN,0
"King County, Washington","Inyo County, California",MOVEDOUT,35
"King County, Washington","Kern County, California",MOVEDIN,85
"King County, Washington","Kern County, California",MOVEDOUT,43
"King County, Washington","Kings County, California",MOVEDIN,32
"King County, Washington","Kings County, California",MOVEDOUT,2
"King County, Washington","Lake County, California",MOVEDIN,14
"King County, Washington","Lake County, California",MOVEDOUT,12
"King County, Washington","Los Angeles County, California",MOVEDIN,4147
"King County, Washington","Los Angeles County, California",MOVEDOUT,2949
"King County, Washington","Madera County, California",MOVEDIN,13
"King County, Washington","Madera County, California",MOVEDOUT,0
"King County, Washington","Marin County, California",MOVEDIN,193
"King County, Washington","Marin County, California",MOVEDOUT,159
"King County, Washington","Mendocino County, California",MOVEDIN,0
"King County, Washington","Mendocino County, California",MOVEDOUT,140
"King County, Washington","Merced County, California",MOVEDIN,29
"King County, Washington","Merced County, California",MOVEDOUT,17
"King County, Washington","Mono County, California",MOVEDIN,0
"King County, Washington","Mono County, California",MOVEDOUT,2
"King County, Washington","Monterey County, California",MOVEDIN,65
"King County, Washington","Monterey County, California",MOVEDOUT,168
"King County, Washington","Napa County, California",MOVEDIN,39
"King County, Washington","Napa County, California",MOVEDOUT,44
"King County, Washington","Nevada County, California",MOVEDIN,4
"King County, Washington","Nevada County, California",MOVEDOUT,60
"King County, Washington","Orange County, California",MOVEDIN,1311
"King County, Washington","Orange County, California",MOVEDOUT,1467
"King County, Washington","Placer County, California",MOVEDIN,189
"King County, Washington","Placer County, California",MOVEDOUT,50
"King County, Washington","Plumas County, California",MOVEDIN,0
"King County, Washington","Plumas County, California",MOVEDOUT,6
"King County, Washington","Riverside County, California",MOVEDIN,344
"King County, Washington","Riverside County, California",MOVEDOUT,531
"King County, Washington","Sacramento County, California",MOVEDIN,322
"King County, Washington","Sacramento County, California",MOVEDOUT,664
"King County, Washington","San Benito County, California",MOVEDIN,28
"King County, Washington","San Benito County, California",MOVEDOUT,12
"King County, Washington","San Bernardino County, California",MOVEDIN,874
"King County, Washington","San Bernardino County, California",MOVEDOUT,292
"King County, Washington","San Diego County, California",MOVEDIN,1612
"King County, Washington","San Diego County, California",MOVEDOUT,1213
"King County, Washington","San Francisco County, California",MOVEDIN,1372
"King County, Washington","San Francisco County, California",MOVEDOUT,1021
"King County, Washington","San Joaquin County, California",MOVEDIN,155
"King County, Washington","San Joaquin County, California",MOVEDOUT,163
"King County, Washington","San Luis Obispo County, California",MOVEDIN,160
"King County, Washington","San Luis Obispo County, California",MOVEDOUT,146
"King County, Washington","San Mateo County, California",MOVEDIN,431
"King County, Washington","San Mateo County, California",MOVEDOUT,598
"King County, Washington","Santa Barbara County, California",MOVEDIN,129
"King County, Washington","Santa Barbara County, California",MOVEDOUT,130
"King County, Washington","Santa Clara County, California",MOVEDIN,1681
"King County, Washington","Santa Clara County, California",MOVEDOUT,1681
"King County, Washington","Santa Cruz County, California",MOVEDIN,199
"King County, Washington","Santa Cruz County, California",MOVEDOUT,228
"King County, Washington","Shasta County, California",MOVEDIN,84
"King County, Washington","Shasta County, California",MOVEDOUT,136
"King County, Washington","Solano County, California",MOVEDIN,43
"King County, Washington","Solano County, California",MOVEDOUT,126
"King County, Washington","Sonoma County, California",MOVEDIN,165
"King County, Washington","Sonoma County, California",MOVEDOUT,352
"King County, Washington","Stanislaus County, California",MOVEDIN,88
"King County, Washington","Stanislaus County, California",MOVEDOUT,133
"King County, Washington","Sutter County, California",MOVEDIN,8
"King County, Washington","Sutter County, California",MOVEDOUT,7
"King County, Washington","Tehama County, California",MOVEDIN,37
"King County, Washington","Tehama County, California",MOVEDOUT,0
"King County, Washington","Tulare County, California",MOVEDIN,0
"King County, Washington","Tulare County, California",MOVEDOUT,31
"King County, Washington","Tuolumne County, California",MOVEDIN,0
"King County, Washington","Tuolumne County, California",MOVEDOUT,9
"King County, Washington","Ventura County, California",MOVEDIN,224
"King County, Washington","Ventura County, California",MOVEDOUT,112
"King County, Washington","Yolo County, California",MOVEDIN,72
"King County, Washington","Yolo County, California",MOVEDOUT,5
"King County, Washington","Yuba County, California",MOVEDIN,35
"King County, Washington","Yuba County, California",MOVEDOUT,0
"King County, Washington","Adams County, Colorado",MOVEDIN,27
"King County, Washington","Adams County, Colorado",MOVEDOUT,39
"King County, Washington","Arapahoe County, Colorado",MOVEDIN,416
